product_id,product_name,category,subcategory,cost_price
1,Haircare_Product_001,Beauty,Haircare,2565.44
2,Sportswear_Product_002,Sports,Sportswear,5329.71
3,Appliances_Product_003,Home & Kitchen,Appliances,10481.08
4,Haircare_Product_004,Beauty,Haircare,19283.02
5,Laptops_Product_005,Electronics,Laptops,4105.86
6,Accessories_Product_006,Electronics,Accessories,18250.17
7,Laptops_Product_007,Electronics,Laptops,26963.11
8,Equipment_Product_008,Sports,Equipment,15151.6
9,Laptops_Product_009,Electronics,Laptops,4519.26
10,Outdoor_Product_010,Sports,Outdoor,2184.94
11,Home Decor_Product_011,Home & Kitchen,Home Decor,4184.71
12,Skincare_Product_012,Beauty,Skincare,16553.46
13,Skincare_Product_013,Beauty,Skincare,28103.01
14,Haircare_Product_014,Beauty,Haircare,8440.92
15,Sportswear_Product_015,Sports,Sportswear,18644.7
16,Makeup_Product_016,Beauty,Makeup,4687.94
17,Men_Product_017,Fashion,Men,23455.73
18,Kitchen_Product_018,Home & Kitchen,Kitchen,1886.19
19,Women_Product_019,Fashion,Women,1874.75
20,Audio_Product_020,Electronics,Audio,7289.53
21,Men_Product_021,Fashion,Men,3773.34
22,Footwear_Product_022,Fashion,Footwear,20811.02
23,Skincare_Product_023,Beauty,Skincare,15356.25
24,Smartphones_Product_024,Electronics,Smartphones,18514.3
25,Skincare_Product_025,Beauty,Skincare,18773.29
26,Haircare_Product_026,Beauty,Haircare,12868.59
27,Equipment_Product_027,Sports,Equipment,12233.23
28,Sportswear_Product_028,Sports,Sportswear,11127.62
29,Haircare_Product_029,Beauty,Haircare,24852.01
30,Fitness_Product_030,Sports,Fitness,23113.75
31,Furniture_Product_031,Home & Kitchen,Furniture,14518.12
32,Outdoor_Product_032,Sports,Outdoor,20477.1
33,Fitness_Product_033,Sports,Fitness,9806.49
34,Furniture_Product_034,Home & Kitchen,Furniture,18934.57
35,Outdoor_Product_035,Sports,Outdoor,2078.81
36,Skincare_Product_036,Beauty,Skincare,3425.63
37,Makeup_Product_037,Beauty,Makeup,13713.16
38,Personal Care_Product_038,Beauty,Personal Care,3077.77
39,Furniture_Product_039,Home & Kitchen,Furniture,4628.95
40,Personal Care_Product_040,Beauty,Personal Care,22160.11
41,Men_Product_041,Fashion,Men,18480.33
42,Outdoor_Product_042,Sports,Outdoor,11862.95
43,Kitchen_Product_043,Home & Kitchen,Kitchen,4124.38
44,Accessories_Product_044,Electronics,Accessories,9564.9
45,Laptops_Product_045,Electronics,Laptops,13212.45
46,Fitness_Product_046,Sports,Fitness,25250.02
47,Home Decor_Product_047,Home & Kitchen,Home Decor,27067.6
48,Equipment_Product_048,Sports,Equipment,19170.46
49,Home Decor_Product_049,Home & Kitchen,Home Decor,26869.26
50,Audio_Product_050,Electronics,Audio,26698.32
51,Sportswear_Product_051,Sports,Sportswear,3304.95
52,Skincare_Product_052,Beauty,Skincare,13381.7
53,Equipment_Product_053,Sports,Equipment,2681.04
54,Men_Product_054,Fashion,Men,2301.72
55,Accessories_Product_055,Fashion,Accessories,1211.79
56,Skincare_Product_056,Beauty,Skincare,11719.72
57,Makeup_Product_057,Beauty,Makeup,29126.89
58,Footwear_Product_058,Fashion,Footwear,23547.7
59,Footwear_Product_059,Fashion,Footwear,12452.11
60,Outdoor_Product_060,Sports,Outdoor,24941.45
61,Furniture_Product_061,Home & Kitchen,Furniture,2616.14
62,Skincare_Product_062,Beauty,Skincare,8969.03
63,Smartphones_Product_063,Electronics,Smartphones,11550.9
64,Appliances_Product_064,Home & Kitchen,Appliances,3773.38
65,Haircare_Product_065,Beauty,Haircare,2217.24
66,Laptops_Product_066,Electronics,Laptops,14425.92
67,Furniture_Product_067,Home & Kitchen,Furniture,23991.62
68,Makeup_Product_068,Beauty,Makeup,29402.11
69,Fitness_Product_069,Sports,Fitness,27620.87
70,Haircare_Product_070,Beauty,Haircare,3973.66
71,Accessories_Product_071,Electronics,Accessories,18016.17
72,Smartphones_Product_072,Electronics,Smartphones,11373.39
73,Haircare_Product_073,Beauty,Haircare,18446.25
74,Haircare_Product_074,Beauty,Haircare,27860.28
75,Personal Care_Product_075,Beauty,Personal Care,14957.03
76,Accessories_Product_076,Electronics,Accessories,29773.6
77,Home Decor_Product_077,Home & Kitchen,Home Decor,9610.14
78,Accessories_Product_078,Electronics,Accessories,27579.96
79,Kitchen_Product_079,Home & Kitchen,Kitchen,22688.0
80,Outdoor_Product_080,Sports,Outdoor,25283.66
81,Personal Care_Product_081,Beauty,Personal Care,5446.25
82,Men_Product_082,Fashion,Men,28131.03
83,Fitness_Product_083,Sports,Fitness,5069.72
84,Fitness_Product_084,Sports,Fitness,21820.5
85,Women_Product_085,Fashion,Women,6523.31
86,Footwear_Product_086,Fashion,Footwear,25244.99
