order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,128,2,26145.77,10
2,1,94,3,9719.88,0
3,2,16,2,7144.36,0
4,2,5,2,5540.52,20
5,2,52,1,20420.39,10
6,3,6,1,22118.46,10
7,3,49,1,37819.58,0
8,4,80,2,31426.11,15
9,5,98,1,19578.11,5
10,5,107,1,24910.85,5
11,6,37,1,16907.02,0
12,7,116,3,44146.56,0
13,7,17,1,35670.0,5
14,8,32,1,25223.3,0
15,9,25,1,21843.42,5
16,10,22,1,33007.23,10
17,10,61,1,3011.52,25
18,10,126,1,8312.99,0
19,11,44,1,13601.49,0
20,11,102,2,36364.95,5
21,12,20,2,11744.94,0
22,13,109,1,27424.43,0
23,14,88,2,19706.75,5
24,15,47,2,41849.29,10
25,15,51,2,4248.83,15
26,15,39,1,5869.67,25
27,16,14,1,12247.1,15
28,16,21,2,5748.19,0
29,17,143,1,13242.8,15
30,17,100,1,567.01,10
31,17,97,1,32706.44,5
32,17,1,2,4163.0,20
33,18,109,1,26250.85,10
34,19,82,1,38985.54,10
35,19,138,3,6767.05,0
36,20,18,3,2925.2,20
37,20,58,1,34586.32,15
38,21,126,1,8230.51,0
39,22,73,2,23221.93,0
40,23,110,1,26671.54,0
41,23,52,2,17499.95,0
42,24,46,2,33748.98,10
43,24,107,1,26729.04,0
44,25,13,1,34932.09,20
45,25,96,1,35106.01,15
46,26,17,2,28851.51,0
47,26,67,1,33937.26,5
48,27,61,1,4081.92,0
49,27,65,1,3141.3,0
50,28,133,1,32512.35,0
51,28,89,1,29230.31,5
52,29,56,1,18948.08,20
53,30,5,2,6958.35,20
54,31,101,1,34129.28,15
55,31,87,1,25914.99,10
56,32,61,2,3029.41,20
57,32,69,2,45138.04,5
58,32,63,2,19344.61,0
59,32,44,1,14025.43,10
60,33,28,1,17410.19,20
61,34,13,1,40243.78,0
62,35,30,3,30219.2,0
63,36,63,3,18697.86,0
64,37,73,3,27268.36,0
65,38,57,1,42777.52,0
66,38,64,2,5707.32,5
67,39,52,3,21689.08,20
68,40,63,1,17933.33,20
69,40,141,1,1561.36,20
70,41,93,1,37224.53,0
71,41,107,1,31494.03,0
72,42,109,1,25765.06,0
73,42,88,3,25531.25,20
74,42,45,3,21104.95,0
75,42,108,4,36174.36,10
76,43,46,1,33889.34,0
77,44,77,1,12660.16,0
78,44,46,2,37973.04,0
79,45,129,1,21671.71,10
80,46,92,1,38748.76,0
81,47,12,2,25959.98,0
82,47,88,1,20254.04,5
83,48,73,1,28342.68,10
84,48,102,1,32314.3,5
85,49,99,4,33491.26,20
86,50,58,1,32428.28,5
87,50,128,1,34577.58,0
88,50,117,4,33397.07,10
89,50,35,1,2719.23,5
90,51,84,1,29315.71,15
91,51,66,1,18292.65,20
92,52,26,1,18653.65,15
93,52,42,1,14604.36,5
94,53,77,3,15372.32,0
95,53,30,1,29448.52,20
96,54,116,2,43571.92,5
97,55,36,1,4175.03,15
98,55,19,1,3164.86,25
99,56,22,1,29135.77,10
100,57,65,1,3552.45,5
101,57,57,1,45809.5,10
102,57,11,1,6455.05,0
103,58,26,1,20654.74,5
104,59,19,2,2259.55,0
105,60,83,1,7722.06,0
106,60,140,1,11134.35,10
107,61,67,2,37960.25,10
108,62,56,1,19645.51,15
109,63,18,3,3104.33,20
110,64,113,2,29334.44,0
111,64,5,4,5556.27,15
112,64,112,1,2331.02,5
113,65,115,4,25450.73,10
114,66,67,2,28885.17,20
115,67,70,2,5410.89,0
116,68,52,3,22690.54,10
117,69,127,1,42998.76,5
118,70,65,3,3308.08,15
119,70,80,1,35626.2,10
120,71,113,2,36613.7,15
121,72,111,1,11530.92,0
122,73,53,1,3951.27,10
123,74,137,1,27273.4,10
124,75,133,4,34260.91,5
125,76,116,2,49967.57,5
126,76,72,2,15502.74,0
127,77,21,2,5571.84,0
128,78,103,1,4680.75,0
129,79,107,1,22889.2,0
130,79,63,1,18840.38,15
131,80,148,1,30499.18,20
132,81,150,2,22235.97,15
133,81,77,2,13098.31,15
134,82,75,1,25151.19,0
135,83,63,1,13819.67,5
136,84,67,1,38394.28,20
137,84,36,1,4583.0,15
138,85,134,1,23557.25,0
139,86,37,1,23250.19,5
140,86,93,1,35504.91,0
141,86,75,3,18264.72,0
142,87,115,1,25704.63,5
143,87,77,2,15062.04,20
144,88,13,2,34558.46,10
145,88,38,1,3980.27,5
146,89,148,2,29275.44,5
147,89,17,2,31562.57,15
148,89,123,1,22793.73,0
149,90,114,1,15830.97,10
150,90,26,2,20886.76,0
151,91,32,1,28199.28,5
152,91,86,1,37530.42,0
153,92,98,1,25091.8,20
154,92,91,1,7734.42,0
155,93,121,2,43020.53,0
156,94,57,2,41671.4,0
157,95,107,1,27915.22,10
158,96,22,1,31979.81,10
159,97,112,4,2314.28,0
160,97,85,2,8687.12,0
161,97,80,2,32826.92,15
162,98,73,1,26781.48,10
163,99,77,1,12955.29,15
164,100,74,3,40318.63,10
165,100,127,1,40364.41,15
166,101,121,2,48226.68,5
167,102,85,2,7764.18,10
168,103,150,1,24711.25,15
169,103,82,2,41256.77,0
170,104,21,1,5135.68,5
171,104,142,2,37580.82,15
172,105,74,5,44299.86,10
173,105,9,4,5894.79,10
174,106,146,2,30382.71,0
175,107,13,1,46172.93,0
176,108,17,2,35367.5,0
177,108,126,2,9777.49,20
178,109,87,1,24293.28,20
179,110,16,1,6745.44,0
180,110,24,2,31134.99,0
181,111,75,1,19525.81,0
182,111,103,3,4781.96,0
183,111,86,1,33023.4,0
184,112,105,1,17614.04,0
185,113,42,1,14850.64,15
186,114,18,3,3111.93,15
187,115,78,3,37951.77,0
188,115,92,1,39435.45,10
189,116,11,2,5386.06,5
190,117,126,1,8208.02,0
191,118,97,2,24459.56,15
192,118,53,2,3463.29,0
193,119,83,1,7197.34,0
194,120,47,1,45213.05,0
195,121,52,1,18251.26,20
196,121,57,1,43744.49,10
197,122,75,1,20719.08,5
198,123,59,1,14640.39,15
199,123,69,2,39413.41,0
200,124,86,1,29946.93,20
201,124,146,1,30508.83,10
202,125,71,2,28180.36,10
203,126,33,3,13319.75,15
204,126,3,2,15743.84,10
205,126,28,5,13482.4,20
206,127,1,1,3941.56,15
207,128,126,2,9947.78,0
208,128,113,1,38733.67,0
209,128,47,2,35359.83,0
210,128,37,1,17759.37,0
211,129,86,2,36271.21,0
212,130,48,1,32249.98,0
213,131,108,1,39513.71,0
214,132,19,2,2526.79,15
215,133,142,3,42948.93,15
216,133,83,1,8399.13,0
217,134,65,3,2868.02,0
218,134,26,1,20675.48,0
219,135,138,2,5436.28,20
220,135,99,4,33768.58,5
221,136,77,1,12102.54,25
222,137,70,1,5677.94,20
223,138,43,1,6656.01,20
224,138,70,1,5723.77,0
225,139,59,2,15165.33,5
226,140,3,2,13504.63,25
227,140,133,4,35188.72,0
228,141,85,1,9594.18,10
229,141,95,1,9156.62,0
230,142,78,1,32885.02,5
231,143,101,3,35665.85,20
232,143,83,1,8365.98,10
233,144,84,5,31220.45,15
234,144,121,1,46284.45,10
235,145,135,2,2706.77,5
236,145,53,1,4030.79,15
237,146,114,3,14851.26,25
238,147,6,1,28228.86,25
239,148,135,2,2118.1,15
240,149,18,2,2773.59,5
241,150,54,1,3713.13,0
242,151,127,1,38589.04,0
243,151,25,2,30852.85,0
244,152,63,1,17224.82,0
245,152,115,3,28910.68,0
246,153,141,2,1840.85,0
247,153,51,1,4531.16,0
248,154,28,2,17925.7,5
249,155,73,2,26106.52,0
250,155,72,2,18716.82,15
251,155,85,2,9330.91,0
252,156,110,1,29240.25,10
253,157,30,4,39264.7,20
254,157,9,1,5562.45,0
255,158,141,3,1917.86,25
256,158,82,1,34499.32,10
257,158,64,1,6080.34,0
258,158,38,1,4549.1,0
259,159,119,1,11979.04,20
260,159,22,5,33844.47,10
261,160,99,1,30045.03,0
262,160,106,1,25630.7,20
263,160,64,1,5587.03,15
264,160,9,1,6485.47,15
265,161,126,1,7714.31,20
266,161,95,1,7620.52,15
267,162,88,1,22376.84,0
268,163,113,1,28456.34,10
269,164,72,1,18544.93,15
270,165,50,1,42554.33,0
271,166,148,2,36685.42,0
272,166,81,2,6311.11,0
273,167,33,2,11534.42,0
274,168,63,4,16776.66,0
275,168,105,3,20086.68,15
276,169,99,1,33755.18,15
277,170,6,1,24444.39,0
278,171,135,3,2004.4,10
279,171,9,2,6873.27,10
280,171,101,1,34324.04,0
281,171,61,1,3154.35,0
282,172,99,5,35490.58,0
283,173,148,3,35176.63,15
284,173,58,1,33471.5,0
285,174,60,4,37933.45,0
286,174,35,5,3323.91,0
287,175,47,1,41337.6,20
288,176,46,3,37593.82,15
289,177,87,3,26455.38,5
290,178,4,1,31726.81,20
291,178,10,2,2980.01,0
292,179,107,1,23218.06,10
293,179,75,2,23928.6,0
294,180,40,3,28089.36,0
295,181,127,1,48818.59,15
296,181,119,1,8359.38,15
297,182,73,3,30559.89,0
298,183,40,4,32665.12,0
299,183,96,1,34725.1,5
300,184,23,3,21025.33,15
301,184,143,1,19040.73,0
302,184,115,1,26661.11,10
303,185,116,2,38164.47,20
304,185,133,2,28407.22,0
305,185,146,2,31091.12,20
306,186,21,1,5285.76,0
307,186,3,1,15943.49,10
308,187,46,4,38584.36,15
309,188,90,1,42947.81,5
310,188,79,1,34388.4,0
311,188,127,3,42886.87,20
312,188,53,2,4130.61,0
313,189,148,1,36246.68,10
314,190,21,1,4725.2,5
315,190,90,3,31870.77,5
316,191,113,5,28801.13,10
317,192,51,1,4480.62,10
318,192,68,1,41865.67,0
319,192,116,1,43857.03,10
320,192,138,3,7026.83,0
321,193,83,1,6752.53,0
322,193,95,2,9788.04,5
323,194,137,1,33172.48,10
324,194,29,1,31588.13,0
325,195,110,3,28761.33,10
326,196,71,1,30302.24,5
327,196,38,3,3749.86,0
328,197,127,1,42001.92,10
329,197,72,1,13402.23,25
330,198,59,1,16519.83,5
331,198,28,1,16594.97,15
332,199,46,1,40717.71,0
333,200,71,2,27955.34,15
334,201,38,1,4322.95,10
335,202,117,3,40889.04,10
336,203,108,1,31407.3,20
337,204,146,1,29178.4,0
338,205,95,1,8803.45,5
339,206,63,3,18992.56,0
340,207,103,1,6152.14,10
341,208,5,1,6757.46,15
342,208,107,1,23638.48,5
343,208,142,1,41278.11,5
344,209,58,1,36643.87,10
345,210,146,1,29059.74,0
346,211,7,1,38481.76,0
347,212,87,1,18887.23,5
348,212,97,2,26759.83,5
349,213,45,2,17543.7,5
350,213,16,2,7587.99,0
351,213,64,1,6084.53,10
352,214,37,1,16559.66,20
353,215,9,3,7558.05,0
354,216,137,1,28758.79,10
355,216,140,1,11836.09,10
356,216,146,3,23651.97,20
357,216,90,4,42742.59,10
358,217,74,3,43522.52,10
359,218,125,5,29898.47,15
360,219,51,3,5040.16,0
361,220,32,2,25625.08,10
362,221,88,1,20845.44,5
363,221,136,4,17904.21,5
364,221,26,3,16482.93,0
365,221,66,1,23542.69,0
366,222,73,1,28100.37,0
367,223,50,1,34813.72,10
368,223,45,4,16953.77,20
369,223,87,1,18947.45,0
370,224,33,1,13146.78,0
371,224,19,1,2699.12,25
372,224,141,5,1606.53,10
373,224,113,2,37120.74,20
374,225,22,1,28645.58,0
375,225,148,1,30702.91,15
376,226,97,1,34468.41,15
377,227,5,1,5315.2,0
378,228,126,2,8498.53,0
379,229,78,1,37515.91,0
380,230,30,1,29647.06,0
381,230,91,1,6286.26,25
382,231,82,1,37029.13,5
383,232,88,4,24907.47,15
384,232,132,1,39740.22,15
385,232,105,1,18046.16,5
386,233,67,1,33622.02,10
387,234,118,1,16147.63,0
388,234,30,1,29976.83,5
389,235,111,1,8192.44,25
390,235,144,2,31083.65,0
391,235,39,1,6585.01,5
392,236,86,1,29827.52,15
393,237,41,3,22149.2,10
394,238,31,1,18796.09,10
395,239,141,2,1667.14,20
396,240,127,1,40159.62,0
397,241,64,1,4584.04,15
398,242,117,1,31574.91,20
399,243,19,1,2425.75,0
400,243,111,3,8167.16,10
401,243,114,1,12981.04,0
402,243,25,2,22334.99,0
403,244,121,2,46031.24,5
404,245,99,1,34361.85,10
405,246,90,2,35014.8,20
406,247,3,1,12782.59,10
407,248,130,2,35980.39,20
408,249,5,2,5247.24,0
409,249,20,1,12332.88,0
410,249,38,1,4953.49,25
411,250,101,1,26407.32,20
412,251,128,1,31352.68,0
413,252,102,1,29331.66,10
414,253,36,4,4136.13,5
415,254,99,1,38794.87,5
416,255,113,1,29555.9,20
417,255,37,1,19116.93,15
418,256,54,1,3447.26,0
419,257,149,1,29047.24,0
420,258,149,1,33693.37,0
421,258,92,1,38574.29,15
422,259,70,1,6261.72,5
423,260,84,2,29361.17,25
424,261,11,3,4831.74,15
425,261,88,1,23813.23,0
426,261,87,3,27768.42,15
427,261,31,1,19936.77,5
428,262,101,2,38572.46,0
429,263,60,1,30626.59,5
430,263,61,3,3435.21,25
431,264,67,3,29843.17,5
432,265,79,2,32020.64,10
433,266,71,2,28615.8,5
434,267,67,1,32085.53,5
435,268,128,1,34703.52,15
436,269,111,2,9972.7,15
437,270,16,1,6591.17,0
438,270,45,1,20913.59,0
439,270,34,1,22831.19,5
440,271,44,2,15070.11,0
441,271,117,1,31808.39,15
442,272,125,2,29009.06,0
443,273,103,2,5730.45,15
444,273,120,1,29640.72,10
445,274,35,1,3051.95,0
446,274,126,4,9354.45,0
447,274,75,3,23589.14,0
448,275,84,1,28205.8,0
449,275,53,1,4303.01,10
450,276,58,1,32492.96,5
451,277,143,1,14000.1,10
452,277,50,1,35844.23,5
453,277,141,4,1585.11,0
454,278,111,4,8776.62,5
455,279,111,2,8980.37,15
456,280,120,1,22500.0,0
457,281,65,1,3364.08,10
458,281,106,2,30722.86,0
459,281,91,2,7459.87,0
460,282,146,1,24970.62,5
461,282,26,2,20246.84,5
462,282,72,2,13890.15,15
463,283,44,2,14004.21,5
464,283,90,1,34271.83,0
465,283,133,2,34721.29,10
466,284,124,1,16448.16,5
467,285,5,2,6506.89,0
468,285,127,1,48209.48,15
469,285,113,1,37680.9,0
470,286,111,1,8575.6,20
471,287,77,1,12504.49,0
472,288,13,5,46528.66,5
473,289,58,1,32742.4,20
474,290,130,3,47076.54,15
475,290,88,1,20931.03,0
476,291,36,1,5732.71,10
477,292,25,1,31147.83,0
478,292,34,1,28653.49,5
479,292,140,2,9920.16,15
480,293,19,1,2568.75,5
481,294,114,2,16123.63,0
482,295,106,1,34232.59,5
483,295,37,1,17183.46,0
484,295,107,1,25534.91,0
485,296,129,2,25132.25,5
486,297,60,2,36609.88,10
487,297,67,1,38770.81,5
488,298,79,1,36405.44,0
489,298,111,2,11344.84,20
490,299,48,4,23281.97,10
491,300,147,1,12883.77,0
492,300,88,2,18321.2,25
493,301,40,1,36883.24,20
494,302,134,1,20558.44,0
495,302,96,4,26116.48,10
496,302,61,2,3471.2,10
497,303,5,3,5515.31,0
498,304,37,1,21876.03,0
499,305,139,1,22137.81,10
500,306,106,2,31981.22,0
501,307,99,3,29309.66,15
502,307,8,3,25013.51,0
503,308,87,1,20722.84,20
504,308,84,1,32643.11,15
505,308,11,1,4954.7,15
506,309,71,1,21526.43,0
507,309,94,1,6861.73,10
508,310,123,1,27968.36,5
509,311,141,2,1845.05,10
510,311,106,2,24631.79,0
511,311,49,3,35192.46,15
512,312,7,4,43634.4,0
513,313,101,1,27486.17,10
514,313,51,3,4194.32,15
515,314,5,2,5680.11,10
516,314,13,4,45337.2,0
517,315,42,1,15305.19,0
518,316,125,1,37770.59,5
519,316,133,2,32435.97,0
520,316,62,3,12220.72,0
521,317,129,2,19005.5,0
522,318,74,2,42462.1,15
523,318,114,1,12537.24,0
524,319,54,2,3443.09,20
525,319,116,2,37497.09,5
526,320,131,2,17689.56,15
527,320,83,2,8218.88,0
528,320,130,1,43936.0,20
529,321,49,2,33184.21,0
530,321,31,1,21548.37,0
531,321,74,4,41672.08,0
532,322,117,2,29731.54,0
533,323,3,2,14738.42,5
534,323,124,5,16019.21,15
535,324,85,1,9177.79,0
536,325,64,1,5952.09,15
537,326,18,2,2333.3,15
538,326,34,1,23058.85,20
539,326,56,1,15213.65,0
540,327,67,3,40156.01,0
541,327,91,1,7730.51,0
542,327,67,1,27847.09,5
543,328,110,1,26483.76,5
544,328,40,1,28621.31,5
545,328,147,1,15723.86,0
546,329,133,1,33815.4,10
547,330,142,3,45711.75,0
548,330,91,1,6290.35,5
549,330,49,1,39587.05,0
550,331,64,1,5792.57,10
551,331,112,2,2768.93,10
552,331,100,1,658.46,15
553,332,104,1,33159.25,20
554,333,5,3,5406.44,15
555,334,119,1,9991.08,0
556,334,88,1,25172.04,0
557,335,127,2,49157.38,20
558,335,24,1,28611.07,15
559,336,107,1,25280.28,15
560,336,50,1,42744.86,10
561,336,58,4,27414.87,0
562,336,1,4,3095.23,15
563,337,138,1,6343.12,0
564,338,2,1,6982.92,5
565,338,63,1,19327.69,0
